"Status","FoundingYear","Age","FocusFunctions","TeamSizeGrowth","NumSeedInvestors","NumAngelorVCInvestors","NumFounders","NumAdvisors","SeniorLeadershipTeamSize","TopCompanyExp","StartupExp","SuccessfulStartupExp","Big5Partner","ConsultingExp","ProductorService","DataFocus","ConsumerDataFocus","DataStructureFocus","SubscriptionBased","CloudPlatformBased","LocalGlobal","BusinessModel","CapitalIntensive","CrowdsourcingBased","CrowdfundingBased","B2BorB2C","GlobalExposure","HighestEducation","Fortune100Exp","Fortune500Exp","Fortune1000Exp","NumFounderRecognition","PricingStrategy","HyperLocalisation","LongtermFounderRelationship","GooglePageRank","NumDirectCompetitors","EmployeesPerYear","LastFundingRoundAmount","RecessionSurvival","FortuneExp"
"Success",2008,6,"technology","No",0,0,3,0,6,"No","Yes","No","Yes","Yes","Product","Public","Yes","Both","Yes","cloud","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,1,1,"Yes","No","No",99081,0,4,6,"Yes",1
"Success",2010,4,"marketing, sales","No",0,2,2,0,5,"No","No","No","No","No","Product","Public","Yes","Both","No","platform","local","Non-Linear","No","No","No","B2B","Yes","PhD",0,0,0,1,"Yes","No","Yes",713494,0,16,2,"Not Applicable",0
"Success",2010,4,"marketing","No",0,3,1,0,7,"No","No","No","No","No","Product","Public","Yes","Both","No","platform","local","Non-Linear","Yes","No","No","B2B","Yes","Masters",0,0,0,1,"Yes","No","No",1939943,0,16,3,"Not Applicable",0
"Success",2009,5,"marketing & sales","No",0,0,3,0,8,"No","No","No","No","No","Both","Both","Yes","Both","No","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,0,"Yes","No","No",276491,0,12,10,"Not Applicable",0
"Success",2002,12,"solution providing","Yes",0,3,0,0,8,"Yes","Yes","Yes","No","No","Both","Public","Yes","Both","No","platform","local","Non-Linear","Yes","No","No","B2B","Yes","Masters",0,0,0,0,"Yes","No","No",3341960,0,18,0,"Yes",0
"Success",2010,4,"marketing 
sales","No",0,6,2,0,4,"No","Yes","Yes","No","No","Product","Private","Yes","Both","No","cloud","local","Non-Linear","No","No","No","B2B","No","Bachelors",0,0,0,0,"No","No","No",2461569,4,16,0,"Not Applicable",0
"Success",2010,4,"marketing","Yes",0,1,2,0,5,"Yes","Yes","No","No","No","Both","Private","Yes","Structured","No","cloud","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",1,1,1,56,"Yes","No","Yes",1246836,0,8,5,"Not Applicable",3
"Success",2005,9,"social media","Yes",0,0,2,0,4,"No","Yes","Yes","Yes","Yes","Both","Public","No","Both","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",1,1,1,100,"No","No","No",269278,0,3,1,"Yes",3
"Success",2012,2,"marketing","Yes",0,0,3,8,3,"Yes","Yes","Yes","No","No","Service","Private","Yes","Structured","No","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",1,1,1,58,"No","Yes","Yes",761788,0,33,15,"Not Applicable",3
"Success",2012,2,"community betterment","Yes",1,0,2,0,2,"No","Yes","Yes","No","No","Service","Public","No","Both","Yes","platform","local","Linear","Yes","Yes","No","B2C","Yes","PhD",0,0,0,81,"No","Yes","Yes",642250,5,3,1,"Not Applicable",0
"Success",2011,3,"web analytics","Yes",3,0,2,1,3,"No","Yes","Yes","No","No","Service","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,24,"No","No","No",3799200,3,2,0,"Not Applicable",0
"Success",2009,5,"strategy","Yes",0,0,3,0,3,"No","No","No","Yes","No","Service","Private","No","Unstructured","No","platform","global","Non-Linear","No","No","No","B2B","No","Bachelors",1,1,1,67,"No","No","No",2497831,0,1,1,"Not Applicable",3
"Success",2013,1,"social media","No",6,0,1,0,1,"No","No","No","No","No","Service","Private","No","Both","Yes","platform","global","Non-Linear","No","No","No","B2C","No","PhD",0,0,0,53,"No","Yes","No",7253712,0,5,1,"Not Applicable",0
"Success",2007,7,"strategy","Yes",0,0,2,8,10,"No","No","No","No","No","Service","Private","No","Structured","No","platform","local","Linear","Yes","No","No","B2B","No","Bachelors",1,1,1,71,"Yes","Yes","Yes",296645,0,18,15,"Yes",3
"Success",2012,2,"bug fix","No",3,0,2,0,2,"No","No","No","No","No","Service","Private","No","Both","No","platform","global","Non-Linear","No","Yes","No","B2C","No","Bachelors",0,0,0,79,"No","No","Yes",155498,5,3,0,"Not Applicable",0
"Success",2012,2,"data integration","No",2,0,4,0,4,"No","No","No","No","No","Service","Private","No","Both","Yes","platform","global","Linear","Yes","No","No","B2B","No","Bachelors",0,0,0,58,"Yes","No","No",38021,0,25,0,"Not Applicable",0
"Success",2010,4,"analytics","Yes",2,3,3,2,5,"No","No","No","No","No","Product","Both","No","Both","Yes","platform","global","Non-Linear","No","No","No","B2B","No","Bachelors",0,0,0,63,"Yes","No","Yes",9355,0,44,20,"Not Applicable",0
"Success",2011,3,"social media optimization","Yes",1.94210526315789,0.747368421052632,3,0,4,"No","Yes","No","No","No","Service","Both","No","Both","Yes","platform","global","Non-Linear","No","No","No","B2B","No","Bachelors",0,0,0,116,"No","No","No",1024425,0,4,2,"Not Applicable",0
"Success",2012,2,"marketing","Yes",0,3,2,6,4,"No","No","No","No","No","Service","Public","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","No","Bachelors",1,1,1,61,"Yes","No","Yes",1951415,0,13,2,"Not Applicable",3
"Success",2012,2,"database management","Yes",0,0,4,4,4,"No","No","No","No","No","Service","Private","Yes","Structured","No","platform","global","Linear","Yes","No","No","B2B","Yes","Bachelors",0,0,0,0,"No","No","No",912860,0,30,5,"Not Applicable",0
"Success",2012,2,"operations","Yes",4,0,2,3,2,"No","Yes","Yes","No","No","Product","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","No","Masters",0,0,0,7,"No","No","Yes",2439989,0,4,0,"Not Applicable",0
"Success",2010,4,"technology","Yes",24,0,2,0,4,"No","No","No","No","No","Service","Private","Yes","Structured","Yes","platform","local","Non-Linear","No","No","No","B2B","No","Bachelors",0,0,0,1,"No","No","No",3792883,3,3,1,"Not Applicable",0
"Success",2010,4,"analytics","No",3,0,5,0,5,"Yes","No","No","No","No","Service","Public","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",1,1,0,245,"Yes","No","No",4518529,3,2,0,"Not Applicable",2
"Success",2011,3,"operations","Yes",1,0,0,8,3,"No","No","No","No","No","Service","Public","No","Unstructured","No","platform","global","Linear","No","No","No","B2C","Yes","Masters",1,0,0,439,"Yes","No","Yes",2053508.43636364,3,28,0,"Not Applicable",1
"Success",2008,6,"sales","Yes",0,0,3,0,6,"No","No","No","No","Yes","Product","Private","Yes","Structured","Yes","cloud","global","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,1,"Yes","No","No",2607547,0,10,2,"Yes",0
"Success",2010,4,"technology","Yes",0,0,4,10,6,"No","Yes","Yes","No","No","Product","Private","Yes","Structured","Yes","cloud","global","Non-Linear","No","No","No","B2B","No","PhD",0,0,0,0,"Yes","No","No",1810474,0,7,1,"Not Applicable",0
"Success",2011,3,"technology","Yes",0,1,2,2,2,"No","No","No","No","No","Product","Private","No","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","No","PhD",0,0,0,1,"Yes","No","No",221783,0,16,3,"Not Applicable",0
"Success",2003,11,"risk","Yes",1.94210526315789,0.747368421052632,2,13,14,"No","Yes","Yes","No","No","Product","Private","Yes","Structured","No","platform","global","Non-Linear","No","No","No","B2C","Yes","Bachelors",0,0,0,0,"No","No","No",1089377,0,30,30,"Yes",0
"Success",2000,14,"operations","Yes",1.94210526315789,0.747368421052632,2,0,9,"No","No","No","No","No","Service","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,0,9,"No","No","Yes",213086,0,47,25,"Yes",0
"Success",2011,3,"marketing, web analytics","Yes",0,3,2,1,3,"No","Yes","Yes","No","No","Service","Both","No","Both","Yes","cloud","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,0,0,"Yes","No","No",11967,0,14,4,"Not Applicable",0
"Success",2009,5,"marketing","Yes",0,0,2,2,4,"Yes","Yes","Yes","No","No","Both","Private","Yes","Structured","No","platform","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",1,1,1,0,"Yes","No","No",169460,0,13,13,"Not Applicable",3
"Success",2009,5,"strategy, operations, finacial planning","Yes",0,0,3,5,7,"No","No","No","Yes","No","Both","Private","No","Structured","Yes","cloud","global","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,100,"Yes","No","Yes",447301,0,28,1,"Not Applicable",0
"Success",2012,2,"marketing","Yes",10,0,1,3,4,"No","No","No","No","No","Service","Both","No","Both","Yes","platform","global","Linear","Yes","No","No","B2B","No","Bachelors",0,0,0,79,"Yes","No","No",86394,0,40,6,"Not Applicable",0
"Success",2012,2,"marketing","No",1,0,2,2,4,"Yes","Yes","Yes","No","Yes","Product","Both","Yes","Unstructured","No","platform","global","Linear","Yes","No","No","B2B","Yes","Masters",0,0,0,0,"Yes","No","No",282991,0,15,1,"Not Applicable",0
"Success",2012,2,"analytics","No",2,1,2,0,2,"No","No","No","No","Yes","Product","no","Yes","Structured","Yes","platform","local","Non-Linear","No","No","No","B2B","No","Bachelors",0,0,0,4,"Yes","No","No",754828,0,14,2,"Not Applicable",0
"Success",2009,5,"analytics","Yes",0,0,2,0,2,"Yes","No","No","No","Yes","Product","Both","No","Both","Yes","platform","global","Non-Linear","Yes","No","No","B2B","No","Bachelors",1,1,1,0,"Yes","Yes","No",28597,0,12,3,"Not Applicable",3
"Success",2012,2,"analytics","Yes",10,0,2,1,4,"No","Yes","Yes","No","Yes","Service","Both","No","Structured","No","platform","global","Linear","No","No","No","B2B","Yes","Masters",0,0,0,0,"No","No","No",761094,0,18,4,"Not Applicable",0
"Success",2010,4,"data visualization","No",0,0,0,0,6,"Yes","Yes","Yes","No","No","Service","Both","Yes","Structured","No","both","global","Non-Linear","No","No","No","B2C","Yes","Masters",0,0,0,180,"No","Yes","Yes",7355795,6,3,1,"Not Applicable",0
"Success",2011,3,"analytics","Yes",0,0,0,0,12,"No","Yes","Yes","No","No","Product","Both","Yes","Structured","No","none","global","Linear","No","No","No","B2B","No","PhD",0,1,0,0,"No","No","No",2053508.43636364,7,25,1,"Not Applicable",1
"Success",2010,4,"service","Yes",0,4,3,2,8,"No","Yes","Yes","No","No","Service","no","No","Structured","No","cloud","local","Non-Linear","No","No","No","B2B","Yes","Masters",0,1,0,1,"No","No","Yes",46550,0,9,1,"Not Applicable",1
"Success",2002,12,"analytics","No",0,2,0,0,2,"No","Yes","Yes","Yes","Yes","Service","Both","Yes","Structured","No","platform","local","Non-Linear","No","No","No","B2B","No","Masters",1,0,0,1,"Yes","No","No",2584435,0,4,7,"Yes",1
"Success",2008,6,"operation","No",3,0,3,2,5,"No","Yes","Yes","No","No","Service","Private","Yes","Structured","No","cloud","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,0,5,"Yes","No","No",915558,0,3,0,"Yes",0
"Success",2011,3,"marketing, sales","No",22,0,2,0,2,"Yes","Yes","Yes","No","Yes","Service","Private","No","Both","No","cloud","global","Linear","No","No","No","B2B","Yes","Masters",1,0,0,3,"No","No","No",431282,0,3,0,"Not Applicable",1
"Success",2010,4,"operations, sales, marketing","No",3,0,2,1,5,"No","No","No","No","No","Both","Private","Yes","Structured","No","platform","local","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,0,0,"Yes","No","No",91162,5,2,0,"Not Applicable",0
"Success",2012,2,"marketing & sales","No",8,0,0,0,4,"Yes","No","No","No","Yes","Product","Public","Yes","Both","No","platform","local","Non-Linear","No","Yes","No","B2B","Yes","Masters",0,0,1,2,"Yes","No","No",6864799,0,12,1,"Not Applicable",1
"Success",2009,5,"marketing & sales","No",6,0,1,2,4,"Yes","No","No","No","No","Both","Public","Yes","Both","No","platform","global","Non-Linear","Yes","No","No","B2B","Yes","Bachelors",0,1,0,1,"Yes","No","No",64262,0,2,0,"Not Applicable",1
"Success",2011,3,"marketing, technology, finance & accounting, customer service","No",3,0,0,4,4,"No","Yes","Yes","No","Yes","Product","Both","Yes","Both","Yes","platform","local","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,8,"Yes","No","No",194733,0,4,0,"Not Applicable",0
"Success",2009,5,"operation","No",0,0,3,0,4,"No","No","No","Yes","Yes","Service","Private","No","Both","No","platform","local","Non-Linear","Yes","No","No","B2B","Yes","Bachelors",0,0,0,1,"Yes","No","Yes",263431,0,4,17,"Not Applicable",0
"Success",2005,9,"computing, training","No",0,0,2,7,5,"No","Yes","No","No","Yes","Both","Private","No","Structured","No","cloud","global","Non-Linear","Yes","No","No","B2B","Yes","Bachelors",0,0,0,0,"Yes","No","No",709728,0,4,10,"Yes",0
"Success",2012,2,"marketing","No",0,0,0,0,7,"No","Yes","No","No","No","Product","Private","Yes","Both","No","platform","local","Non-Linear","No","No","No","B2C","Yes","Bachelors",0,0,0,1,"Yes","No","No",297388,0,7,1,"Not Applicable",0
"Success",2010,4,"operations, marketing","No",1,0,1,0,4,"No","Yes","Yes","No","No","Product","Private","Yes","Structured","No","platform","local","Non-Linear","Yes","No","No","B2B","Yes","Bachelors",0,0,0,0,"Yes","No","No",245871,0,3,7,"Not Applicable",0
"Success",2010,4,"research","No",0,0,3,7,7,"No","Yes","Yes","No","No","Product","Public","Yes","Both","No","platform","local","Non-Linear","Yes","No","No","B2B","Yes","PhD",0,0,0,12,"Yes","No","Yes",1842172,0,10,11,"Not Applicable",0
"Success",2011,3,"operations","No",0,0,2,0,4,"Yes","No","No","No","No","Product","Private","No","Structured","No","cloud","local","Non-Linear","Yes","No","No","B2B","Yes","PhD",1,0,0,3,"Yes","No","Yes",226890,0,13,35,"Not Applicable",1
"Success",2011,3,"marketing, sales","No",0,0,5,0,6,"No","Yes","Yes","Yes","Yes","Product","Both","Yes","Both","No","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,0,"Yes","No","No",4910627,0,4,0,"Not Applicable",0
"Success",2006,8,"marketing","Yes",0,0,1,7,9,"No","Yes","Yes","No","No","Product","Both","Yes","Both","No","cloud","local","Non-Linear","Yes","No","No","B2B","Yes","Bachelors",0,0,0,0,"Yes","No","No",408646,8,15,9,"Yes",0
"Success",2011,3,"marketing, sales","No",0,0,2,0,3,"No","Yes","Yes","No","No","Both","Public","Yes","Both","No","platform","local","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,0,"Yes","No","No",1046310,0,4,1,"Not Applicable",0
"Success",1999,15,"risk","Yes",0,0,0,0,10,"No","No","No","No","No","Both","Both","Yes","Both","No","platform","local","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,0,"Yes","No","No",1085205,0,18,6,"Yes",0
"Success",2006,8,"marketing 
sales","Yes",0,0,2,0,12,"No","Yes","Yes","No","No","Product","Private","Yes","Both","No","cloud","global","Non-Linear","No","Yes","No","B2B","Yes","Masters",0,0,0,2,"Yes","No","Yes",211794,2,15,13,"Yes",0
"Success",2010,4,"data collection ","No",0,2,1,0,8,"No","Yes","Yes","No","No","Product","Public","Yes","Unstructured","No","platform","local","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,0,0,"Yes","No","Yes",731564,4,7,2,"Not Applicable",0
"Failed",2004,10,"development, marketing, and administration","Yes",0,0,3,1,5,"No","Yes","Yes","No","No","Both","Private","Yes","Both","No","platform","local","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,0,3,"No","No","No",2053508.43636364,0,11,62,"No",0
"Failed",2000,14,"it & sales","No",0,0,0,0,8,"No","Yes","Yes","No","Yes","Product","no","No","no","No","platform","local","Linear","No","No","No","B2B","Yes","Masters",0,1,0,0,"No","Yes","No",2053508.43636364,0,3,15,"No",1
"Failed",2004,10,"social news","Yes",0,0,1,0,6,"Yes","Yes","Yes","No","No","Product","Public","No","Unstructured","No","platform","global","Non-Linear","No","Yes","No","B2C","Yes","Masters",1,0,0,1,"No","No","No",483,28,1,5,"Yes",1
"Failed",2005,9,"web","No",0,0,3,0,5,"No","No","No","No","Yes","Product","Public","Yes","Both","No","platform","global","Non-Linear","Yes","No","No","B2C","Yes","PhD",0,0,0,0,"Yes","No","No",545749,4,3,25,"No",0
"Failed",2009,5,"sale","No",0,0,0,0,5,"No","Yes","Yes","No","Yes","Service","Public","No","no","No","platform","local","Non-Linear","Yes","No","No","B2B","No","Masters",0,0,0,0,"Yes","No","No",8990243,9,20,5,"Not Applicable",0
"Failed",2011,3,"social network","No",5,5,3,0,3,"Yes","No","No","No","No","Service","no","No","no","No","platform","global","Non-Linear","No","No","No","B2C","No","Bachelors",0,1,0,0,"Yes","No","Yes",718025,0,3,1,"Not Applicable",1
"Failed",2010,4,"consumer web","No",9,0,3,0,5,"No","No","No","No","No","Product","Public","No","Unstructured","No","cloud","local","Non-Linear","Yes","Yes","No","B2C","No","Bachelors",0,0,0,0,"Yes","Yes","No",3638146,1,3,0,"Not Applicable",0
"Failed",2008,6,"writing blog","No",0,2,0,0,1,"No","No","No","No","No","Product","Public","Yes","Both","No","platform","global","Non-Linear","No","No","No","B2C","Yes","Bachelors",0,0,0,0,"No","No","No",245307,1,2,2,"Yes",0
"Failed",2006,8,"data management","No",0,0,1,0,1,"No","No","No","No","No","Service","Private","No","Both","Yes","platform","local","Non-Linear","No","No","No","B2C","No","Masters",0,1,1,75,"No","Yes","No",7974958,0,0,1,"No",2
"Failed",2007,7,"recommendation ","Yes",0,0,3,2,6,"No","Yes","Yes","No","No","Service","Private","No","Both","Yes","platform","local","Non-Linear","No","Yes","No","B2C","Yes","Masters",0,0,0,0,"Yes","No","No",16821322,1,6,10,"No",0
"Success",2005,9,"marketing","Yes",0,0,3,2,4,"No","Yes","Yes","No","No","Service","Public","Yes","Unstructured","Yes","platform","local","Non-Linear","No","No","No","B2C","No","Bachelors",0,0,0,0,"Yes","No","No",7445,2,4,10,"Yes",0
"Success",2012,2,"marketing,sales,risk,operations","Yes",0,0,2,0,3,"No","Yes","Yes","No","No","Service","Private","Yes","Structured","Yes","cloud","global","Non-Linear","No","No","No","B2B","No","Masters",1,1,1,72,"Yes","No","Yes",2205289,0,51,8,"Not Applicable",3
"Success",2007,7,"strategy","Yes",0,1,3,6,11,"No","Yes","Yes","Yes","Yes","Product","Public","Yes","Structured","Yes","platform","global","Linear","Yes","No","No","B2B","No","Bachelors",0,0,0,73,"Yes","Yes","No",29182,12,53,43,"Yes",0
"Success",2007,7,"strategy","Yes",0,7,2,0,6,"No","Yes","Yes","No","No","Product","Private","No","Structured","No","both","global","Linear","Yes","No","No","B2B","No","Masters",1,1,1,81,"Yes","No","No",2053508.43636364,0,7,20,"Yes",3
"Failed",2007,7,"marketing","No",0,0,2,1,2,"Yes","No","No","No","No","Service","Private","No","Structured","Yes","platform","global","Non-Linear","No","Yes","No","B2B","No","Masters",1,1,1,72,"No","No","No",2053508.43636364,1,0,4,"No",3
"Success",2007,7,"development tool","Yes",0,0,1,6,5,"No","Yes","Yes","No","Yes","Service","Private","No","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","PhD",0,0,0,61,"Yes","No","Yes",104224,0,5,5,"Yes",0
"Success",2013,1,"strategy","No",0,7,4,1,4,"No","Yes","No","No","No","Service","Private","No","Structured","No","platform","local","Non-Linear","No","No","No","B2B","No","Masters",1,1,1,91,"Yes","No","No",1125918,0,8,3,"Not Applicable",3
"Success",2007,7,"tool","Yes",0,0,2,3,3,"No","Yes","No","Yes","Yes","Product","Private","No","Both","Yes","both","global","Linear","Yes","Yes","No","B2C","No","Bachelors",0,0,0,279,"No","No","No",95565,0,17,7,"Yes",0
"Success",2013,1,"inventory management","No",1,1,3,0,4,"No","No","No","No","No","Service","Private","No","Structured","Yes","platform","local","Linear","Yes","No","No","B2B","No","Masters",0,0,0,112,"Yes","Yes","No",810092,0,6,1,"Not Applicable",0
"Success",2011,3,"energy saving","Yes",9,0,2,0,6,"No","No","No","No","No","Service","Private","Yes","Structured","Yes","platform","local","Non-Linear","No","No","No","B2C","No","Bachelors",0,0,0,152,"Yes","Yes","Yes",797253,4,16,6,"Not Applicable",0
"Success",2012,2,"optimization, crm, pricing","Yes",0,0,2,4,7,"Yes","No","No","No","No","Service","Private","No","Structured","No","platform","global","Non-Linear","No","No","No","B2B","Yes","PhD",1,1,1,86,"Yes","No","No",583200,0,42,18,"Not Applicable",3
"Success",2007,7,"social media optimization","Yes",0,0,1,4,5,"No","Yes","Yes","No","Yes","Service","Private","No","Both","No","platform","global","Non-Linear","No","No","No","B2B","No","Bachelors",0,0,0,55,"Yes","No","No",2053508.43636364,3,48,1,"Yes",0
"Success",2009,5,NA,"Yes",2,3,1,5,7,"No","No","No","No","No","Service","Private","No","Structured","No","platform","global","Linear","Yes","No","No","B2B","No","Bachelors",0,0,0,31,"No","No","Yes",2155880,0,10,4,"Not Applicable",0
"Success",2010,4,"marketing, customer targeting","No",5,0,2,0,2,"No","No","No","No","No","Service","Private","No","Both","No","platform","global","Non-Linear","No","No","No","B2B","No","Masters",0,0,0,153,"No","No","No",103061,0,1,1,"Not Applicable",0
"Success",2012,2,"database management","Yes",0,0,3,4,6,"No","Yes","Yes","No","No","Product","Private","No","Both","Yes","platform","global","Linear","Yes","No","No","B2B","No","Masters",0,0,0,68,"Yes","No","No",1065438,0,30,15,"Not Applicable",0
"Success",2002,12,"database management","Yes",0,0,1,6,7,"No","Yes","Yes","No","No","Service","Private","No","Structured","No","platform","global","Linear","Yes","No","No","B2B","Yes","Bachelors",0,0,0,65,"Yes","No","Yes",2053508.43636364,0,1,6,"Yes",0
"Success",2012,2,"information management","Yes",1,0,1,1,2,"No","Yes","Yes","No","No","Service","Private","Yes","Structured","Yes","platform","local","Linear","No","No","No","B2C","No","Masters",0,0,0,3,"No","Yes","No",6657549,0,10,0,"Not Applicable",0
"Success",2009,5,"strategy","Yes",3,5,2,2,1,"Yes","No","No","No","No","Service","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",1,1,1,67,"No","No","Yes",108639,3,2,4,"Not Applicable",3
"Success",2008,6,"technology","Yes",1,2,3,3,8,"Yes","No","No","No","No","Service","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","PhD",1,1,1,125,"Yes","No","Yes",368165,0,4,30,"Yes",3
"Success",2011,3,"technology","Yes",3,0,2,2,3,"No","No","No","No","No","Service","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",1,0,0,360,"No","No","Yes",1162155,10,3,24,"Not Applicable",1
"Success",2010,4,"operations","Yes",17,0,2,5,2,"Yes","Yes","Yes","No","No","Service","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2C","Yes","Bachelors",1,1,1,448,"No","No","No",290009,4,2,0,"Not Applicable",3
"Success",2012,2,"operations","No",1,0,2,4,3,"No","Yes","Yes","No","No","Product","Private","Yes","Structured","Yes","cloud","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,0,406,"Yes","No","No",880762,3,2,0,"Not Applicable",0
"Success",2010,4,"marketing","Yes",11,0,3,9,9,"No","Yes","Yes","No","No","Product","Private","Yes","Unstructured","Yes","platform","local","Non-Linear","No","No","No","B2C","Yes","Masters",0,1,1,173,"No","No","No",2053508.43636364,3,16,0,"Not Applicable",2
"Success",2011,3,"operations","Yes",5,0,2,1,4,"No","Yes","No","No","No","Product","Public","Yes","Structured","Yes","cloud","local","Linear","No","No","No","B2B","Yes","Masters",0,0,0,0,"No","No","Yes",2053508.43636364,5,8,4,"Not Applicable",0
"Success",2011,3,"technology","Yes",0,0,2,2,5,"Yes","Yes","Yes","No","No","Product","Private","Yes","Structured","Yes","cloud","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,1,0,2,"Yes","No","Yes",2053508.43636364,5,25,16,"Not Applicable",1
"Success",2007,7,"marketing, strategy","Yes",3,0,1,4,6,"Yes","Yes","Yes","No","No","Product","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",0,1,1,173,"No","No","Yes",2053508.43636364,2,2,4,"Yes",2
"Success",2011,3,"marketing","Yes",3,0,2,0,2,"No","No","No","No","No","Product","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",1,0,0,272,"No","Yes","No",156473,5,7,1,"Not Applicable",1
